rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
34,663728,Cal Raleigh,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,6,Logan Webb,657277,R,47.6,Longshot,Watch List,"Strong Barrel, Platoon Edge",50.2,30.2,38.4,76.2,75.0,12.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","switch hitter; pitcher baseline 6.2% barrel, 9.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.41,37.63,89.06,100.0801,0.4105,0.2173,0.3122,74.92,52.11,52.47,43.76,24.3,0.1999,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
35,666176,Jo Adell,LAA,DET,2026-07-19T02:07:00Z,Scheduled,6,Tarik Skubal,669373,L,47.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",50.4,29.4,28.2,71.7,78.0,48.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.07,45.17,90.16,102.495,0.4678,0.2085,0.3342,77.32,71.51,37.58,26.86,20.2,0.179,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
36,668227,Randy Arozarena,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,4,Logan Webb,657277,R,47.0,Longshot,Watch List,Premium Lineup Spot,40.0,31.2,38.4,94.9,50.0,54.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.05,44.72,91.23,101.0066,0.4226,0.1697,0.3438,71.39,24.69,34.33,22.14,15.8,0.1754,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
37,670042,Luke Raley,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,8,Logan Webb,657277,R,46.7,Longshot,Watch List,"Strong Barrel, Platoon Edge",54.2,31.2,38.4,52.4,80.0,19.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.73,45.03,90.13,101.9995,0.456,0.2134,0.3379,74.78,50.48,46.92,26.79,11.0,0.1881,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
38,642715,Willy Adames,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,7,Bryan Woo,693433,R,45.2,Longshot,Watch List,Strong Barrel,40.7,41.4,38.4,64.3,50.0,50.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.15,41.26,88.55,99.3225,0.4091,0.1865,0.3039,72.31,23.93,48.26,34.34,20.2,0.196,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
39,677587,Brayan Rocchio,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,2,Mason Montgomery,682254,L,44.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",14.0,33.9,57.6,100.0,75.0,54.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.02,32.91,86.95,97.3998,0.3643,0.1081,0.3062,70.07,7.92,44.41,23.34,7.1,0.1245,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
40,687093,Vaughn Grissom,LAA,DET,2026-07-19T02:07:00Z,Scheduled,3,Tarik Skubal,669373,L,44.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.8,29.4,28.2,92.1,78.0,55.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.2,42.9,89.5,99.991,0.418,0.153,0.338,71.6,19.8,40.4,28.0,5.0,0.139,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
41,624585,Jorge Soler,LAA,DET,2026-07-19T02:07:00Z,Scheduled,4,Tarik Skubal,669373,L,44.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",41.1,29.4,28.2,90.4,78.0,5.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,0,"Last 7 games: 4/26, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.03,41.51,88.65,101.5905,0.38,0.1697,0.301,74.7,48.69,50.35,25.1,11.3,0.1748,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
42,682177,Daniel Schneemann,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,5,Mason Montgomery,682254,L,44.4,Longshot,Watch List,No major boost,32.5,34.4,57.6,86.4,50.0,3.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.05,39.32,88.27,99.0368,0.3723,0.1527,0.2907,71.11,11.86,46.37,29.02,7.8,0.1298,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
43,811965,Joshua Kuroda-Grauer,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,5,Zack Littell,641793,R,44.4,Longshot,Watch List,Projected Lineup,16.1,67.7,30.9,81.9,50.0,45.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,0,Contact streak: 12/27 over last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.0,38.1,89.1,99.1611,0.392,0.068,0.319,68.6,8.2,39.5,11.6,0.0,0.122,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
44,669707,Jared Triolo,PIT,CLE,2026-07-18T23:10:00Z,Pre-Game,9,Logan Allen,671106,L,43.9,Longshot,Watch List,Platoon Edge,15.2,68.2,57.6,44.8,78.0,12.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 15.5% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.33,36.87,87.88,98.594,0.3298,0.0915,0.2883,70.97,8.14,37.15,21.17,2.8,0.0898,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,85,Progressive Field,
45,681807,David Fry,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,6,Mason Montgomery,682254,L,42.8,Longshot,Watch List,Platoon Edge,22.1,34.4,57.6,76.2,78.0,18.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,11,1,"Last 7 games: 1/11, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.84,35.81,86.67,97.8736,0.2721,0.108,0.2447,70.82,11.4,57.7,30.71,6.6,0.178,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
46,703607,Henry Bolte,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,9,Zack Littell,641793,R,42.5,Longshot,Watch List,Projected Lineup,31.9,67.7,30.9,40.2,50.0,18.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,1,"Last 7 games: 2/22, 1 HR","same-side matchup; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.4,46.8,89.9,104.0613,0.344,0.117,0.298,76.8,73.0,32.8,18.4,3.0,0.089,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
47,641487,J.P. Crawford,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,1,Logan Webb,657277,R,42.3,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",23.4,31.2,38.4,93.2,80.0,20.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.3,35.75,88.04,98.4491,0.3776,0.1277,0.3297,71.38,19.23,35.14,20.44,10.6,0.1288,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
48,647304,Josh Naylor,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,5,Logan Webb,657277,R,42.0,Longshot,Watch List,Platoon Edge,24.9,31.2,38.4,86.4,80.0,24.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.44,38.68,88.01,99.2817,0.4073,0.1366,0.3245,70.44,11.25,41.78,23.27,11.6,0.1208,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
49,686611,Dylan Crews,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,5,J.T. Ginn,669372,R,41.8,Longshot,Watch List,Projected Lineup,39.9,33.3,30.9,81.9,50.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,25,0,"Last 7 games: 2/25, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.17,41.43,90.26,101.4944,0.4154,0.1741,0.314,73.51,33.08,33.45,27.0,7.2,0.1363,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
50,663837,Matt Vierling,DET,LAA,2026-07-19T02:07:00Z,Scheduled,8,Grayson Rodriguez,680570,R,41.4,Longshot,Watch List,Projected Lineup,30.7,60.5,28.2,47.9,50.0,25.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.06,38.71,89.05,99.1028,0.3947,0.1419,0.3128,71.07,8.62,30.57,31.97,3.8,0.11,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
51,683953,Travis Bazzana,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,1,Mason Montgomery,682254,L,41.3,Longshot,Watch List,Premium Lineup Spot,20.2,34.4,57.6,93.2,50.0,4.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.3,36.4,88.1,98.5359,0.342,0.122,0.295,69.8,13.3,39.8,29.0,7.0,0.151,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
52,694203,Denzer Guzman,LAA,DET,2026-07-19T02:07:00Z,Scheduled,5,Tarik Skubal,669373,L,41.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",29.2,29.4,28.2,81.9,78.0,37.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.91,39.19,87.2,98.4711,0.344,0.126,0.2623,73.43,33.44,45.08,27.62,3.4,0.1509,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
53,695734,Daylen Lile,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,6,J.T. Ginn,669372,R,41.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.5,33.3,30.9,71.7,80.0,21.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.02,36.74,88.34,98.6898,0.4266,0.1565,0.3256,70.32,6.91,41.01,31.78,10.4,0.1717,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
54,681546,James Outman,DET,LAA,2026-07-19T02:07:00Z,Scheduled,9,Grayson Rodriguez,680570,R,40.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",27.7,60.5,28.2,40.2,80.0,0.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.32,33.73,86.95,98.0212,0.2838,0.1335,0.2272,72.25,20.25,52.59,30.02,3.9,0.1513,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
55,595978,Austin Hedges,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,8,Mason Montgomery,682254,L,40.4,Longshot,Watch List,"Platoon Edge, Hot Hitter/Streak",15.8,34.4,57.6,52.4,78.0,78.7,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,32.97,87.29,98.2051,0.333,0.1021,0.2833,69.96,10.75,51.45,22.68,3.6,0.1223,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
56,805779,Jacob Wilson,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,1,Zack Littell,641793,R,40.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",2.9,67.7,30.9,88.7,50.0,30.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.71,27.64,84.32,95.648,0.3493,0.0772,0.2907,64.04,0.3,32.46,19.76,6.7,0.1141,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
57,650333,Luis Arraez,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,1,Bryan Woo,693433,R,40.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",7.1,41.4,38.4,93.2,80.0,35.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,0,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.68,20.41,86.73,94.1014,0.3707,0.0837,0.3051,63.09,0.12,30.52,26.91,5.2,0.1196,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
58,702284,Cole Young,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,7,Logan Webb,657277,R,40.0,Longshot,Watch List,Platoon Edge,25.2,31.2,38.4,64.3,80.0,43.7,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.11,36.84,88.3,98.9852,0.3977,0.1373,0.3194,71.68,22.86,43.45,26.87,8.9,0.1255,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
59,643446,Jeff McNeil,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,8,Zack Littell,641793,R,38.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",11.7,67.7,30.9,47.9,80.0,4.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.16,32.41,86.71,96.6124,0.3579,0.0943,0.3062,68.95,5.16,41.95,23.82,5.7,0.1036,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
60,808982,Jung Hoo Lee,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,6,Bryan Woo,693433,R,38.0,Longshot,Watch List,Platoon Edge,11.3,41.4,38.4,76.2,80.0,13.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.72,29.83,87.17,96.6028,0.3843,0.0947,0.3168,68.37,2.91,39.65,21.96,5.9,0.1305,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
61,656716,Zach McKinstry,DET,LAA,2026-07-19T02:07:00Z,Scheduled,7,Grayson Rodriguez,680570,R,37.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",6.3,60.5,28.2,59.8,80.0,27.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.79,23.43,84.93,95.3605,0.3181,0.09,0.2812,68.27,3.86,40.82,27.09,6.4,0.123,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
62,681351,Logan O'Hoppe,LAA,DET,2026-07-19T02:07:00Z,Scheduled,8,Tarik Skubal,669373,L,37.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",37.8,29.4,28.2,47.9,78.0,0.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,0,"Last 7 games: 2/26, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.55,40.67,88.31,100.0472,0.3683,0.1578,0.2821,72.14,24.46,45.29,29.7,8.5,0.1125,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
63,687551,Drew Gilbert,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,8,Bryan Woo,693433,R,35.9,Longshot,Watch List,Platoon Edge,10.8,41.4,38.4,52.4,80.0,42.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.8,33.49,85.83,97.3892,0.3346,0.0971,0.2882,70.52,10.44,39.16,17.8,3.7,0.1418,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
64,660688,Keibert Ruiz,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,7,J.T. Ginn,669372,R,35.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",19.4,31.8,30.9,59.8,75.0,37.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","switch hitter; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.65,36.29,88.37,97.8309,0.3608,0.1164,0.2779,67.15,0.51,54.96,28.03,5.5,0.1543,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
65,672724,Oswald Peraza,LAA,DET,2026-07-19T02:07:00Z,Scheduled,7,Tarik Skubal,669373,L,35.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.8,29.4,28.2,59.8,78.0,2.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.47,38.1,87.31,100.0649,0.3466,0.1232,0.2718,72.76,28.32,37.04,20.59,6.4,0.1231,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
66,690984,Petey Halpin,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,7,Mason Montgomery,682254,L,34.3,Longshot,Watch List,No major boost,8.7,34.4,57.6,64.3,50.0,19.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,0,"Last 7 games: 4/16, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 4.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,4.9,19.53,82.08,94.1516,0.261,0.0739,0.2459,70.43,7.35,39.43,36.83,0.0,0.035,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
67,666139,Josh Lowe,LAA,DET,2026-07-19T02:07:00Z,Scheduled,9,Tarik Skubal,669373,L,34.1,Longshot,Watch List,Projected Lineup,35.6,29.4,28.2,40.2,50.0,19.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.35,37.78,88.81,99.3239,0.3938,0.1695,0.2896,73.66,37.23,37.6,32.55,8.9,0.1551,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
68,806068,Colt Emerson,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,9,Logan Webb,657277,R,32.6,Longshot,Watch List,Platoon Edge,17.6,31.2,38.4,44.8,80.0,2.5,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.5,30.4,86.7,97.2019,0.285,0.114,0.243,72.4,24.6,38.0,22.8,7.0,0.191,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
